Hypothesis File: output_preprocessing.tgt_after_adding_sentence_id
Reference File: post_edition_after_tokenizing_lowercasing.tgt_after_adding_sentence_id
Ave-Reference File: 
            Sent Id |  Ins |  Del |  Sub | Shft | WdSh |  NumEr |  AvNumWd |      TER
(id_TEST_WMT_454):0 |    0 |    2 |    3 |    1 |    1 |    6.0 |   28.000 |   21.429
(id_TEST_WMT_455):0 |    2 |    0 |    7 |    2 |    4 |   11.0 |   24.000 |   45.833
(id_TEST_WMT_456):0 |    0 |    1 |    3 |    3 |    4 |    7.0 |   22.000 |   31.818
(id_TEST_WMT_457):0 |    4 |    0 |    4 |    0 |    0 |    8.0 |   42.000 |   19.048
(id_TEST_WMT_458):0 |    0 |    2 |    3 |    0 |    0 |    5.0 |    9.000 |   55.556
(id_TEST_WMT_459):0 |    2 |    0 |    1 |    1 |    1 |    4.0 |   13.000 |   30.769
(id_TEST_WMT_460):0 |    2 |    2 |    2 |    0 |    0 |    6.0 |   66.000 |    9.091
(id_TEST_WMT_461):0 |    3 |    0 |    1 |    0 |    0 |    4.0 |   24.000 |   16.667
(id_TEST_WMT_462):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |    4.000 |    0.000
(id_TEST_WMT_463):0 |    1 |    0 |    5 |    0 |    0 |    6.0 |   13.000 |   46.154
(id_TEST_WMT_464):0 |    2 |    3 |    2 |    0 |    0 |    7.0 |   29.000 |   24.138
(id_TEST_WMT_465):0 |    0 |    0 |    3 |    0 |    0 |    3.0 |    7.000 |   42.857
(id_TEST_WMT_466):0 |    2 |    0 |    2 |    0 |    0 |    4.0 |   11.000 |   36.364
(id_TEST_WMT_467):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   50.000 |    0.000
(id_TEST_WMT_468):0 |    1 |    2 |    4 |    1 |    5 |    8.0 |   16.000 |   50.000
(id_TEST_WMT_469):0 |    1 |    1 |    4 |    0 |    0 |    6.0 |   21.000 |   28.571
(id_TEST_WMT_470):0 |    1 |    0 |    0 |    0 |    0 |    1.0 |   15.000 |    6.667
(id_TEST_WMT_471):0 |    0 |    0 |    1 |    0 |    0 |    1.0 |   21.000 |    4.762
(id_TEST_WMT_472):0 |    0 |    5 |    8 |    0 |    0 |   13.0 |   34.000 |   38.235
(id_TEST_WMT_473):0 |    1 |    2 |    3 |    0 |    0 |    6.0 |   27.000 |   22.222
(id_TEST_WMT_474):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   13.000 |    0.000
